Video Title,Video Thumbnail,Video MP4 Url,Video WebM Url,Date,Placement
"360B Reel 1","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b84831236f5c2a726791_Shine%20Bright-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b84831236f5c2a726791_Shine%20Bright-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b84831236f5c2a726791_Shine%20Bright-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 2","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c064577007c4f1205a8_Brianna%20Bowles-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c064577007c4f1205a8_Brianna%20Bowles-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c064577007c4f1205a8_Brianna%20Bowles-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 3","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c2cfa0d49beaca26c3b_Haircare-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c2cfa0d49beaca26c3b_Haircare-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c2cfa0d49beaca26c3b_Haircare-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c409b04b618b4bc9753_Annalise%20%26%20Chris-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c409b04b618b4bc9753_Annalise%20%26%20Chris-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c409b04b618b4bc9753_Annalise%20%26%20Chris-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 5","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c4f0edaa3f37a6294d9_Miss%20Saigon%20Day-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c4f0edaa3f37a6294d9_Miss%20Saigon%20Day-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c4f0edaa3f37a6294d9_Miss%20Saigon%20Day-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 6","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c60c0154cdc49f29158_%20Gabi%2018th-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c60c0154cdc49f29158_%20Gabi%2018th-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c60c0154cdc49f29158_%20Gabi%2018th-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 7","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c6faaa66b13a51f0346_Cmax-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c6faaa66b13a51f0346_Cmax-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c6faaa66b13a51f0346_Cmax-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 8","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c7c1d2ab713fc6b778b_Reynella%20Netball%20Club-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c7c1d2ab713fc6b778b_Reynella%20Netball%20Club-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c7c1d2ab713fc6b778b_Reynella%20Netball%20Club-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 9","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c998a2e1f12dfdb79d3_Miss%20Saigon%20Night-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c998a2e1f12dfdb79d3_Miss%20Saigon%20Night-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F68098c998a2e1f12dfdb79d3_Miss%20Saigon%20Night-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 10","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1baa4723a0cf448ee0ee6_Miss%20Saigon%20Night%20%281%29-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1baa4723a0cf448ee0ee6_Miss%20Saigon%20Night%20%281%29-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1baa4723a0cf448ee0ee6_Miss%20Saigon%20Night%20%281%29-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 14","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b960360779d1cb03eb6e_Haircare%20v1-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b960360779d1cb03eb6e_Haircare%20v1-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b960360779d1cb03eb6e_Haircare%20v1-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 15","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b97857fa8a46ea174ad1_Annalise%20and%20Chris-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b97857fa8a46ea174ad1_Annalise%20and%20Chris-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b97857fa8a46ea174ad1_Annalise%20and%20Chris-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 17","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b8ea5ad45fb6f0a476ce_BRIANNA%20BOWLES%20V1-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b8ea5ad45fb6f0a476ce_BRIANNA%20BOWLES%20V1-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b8ea5ad45fb6f0a476ce_BRIANNA%20BOWLES%20V1-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 20","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1ba922931bd4f302989d0_Miss%20Saigon%20DAY%20v6%20%281%29-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1ba922931bd4f302989d0_Miss%20Saigon%20DAY%20v6%20%281%29-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1ba922931bd4f302989d0_Miss%20Saigon%20DAY%20v6%20%281%29-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 21","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9a5d1448bc2755e4338_Gabi%2018th%20v1-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9a5d1448bc2755e4338_Gabi%2018th%20v1-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9a5d1448bc2755e4338_Gabi%2018th%20v1-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 22","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9b27c6d38d80610c501_CMAX%20v2-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9b27c6d38d80610c501_CMAX%20v2-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b9b27c6d38d80610c501_CMAX%20v2-transcode.webm","2025-05-18","360 Booth Reels"
"360B Reel 23","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b994f2a32fa47697afd1_Reynella%20Netball%20Club%20v1-poster-00001.jpg","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b994f2a32fa47697afd1_Reynella%20Netball%20Club%20v1-transcode.mp4","https://cdn.prod.website-files.com/65c097a4658ef4595a558d8a%2F67c1b994f2a32fa47697afd1_Reynella%20Netball%20Club%20v1-transcode.webm","2025-05-18","360 Booth Reels"